1 3 10 100
Suites = 1
15.635000 7.776000 23.979000
16.189000 7.717000 24.488000
16.512000 8.258000 25.335000
10.314000 7.613000 18.478000
15.799000 7.633000 23.978000
21.347000 7.609000 29.527000
15.580000 7.584000 23.734000
18.008000 8.503000 27.176000
21.175000 8.070000 29.846000
19.964000 8.845000 29.536000
8.515000 8.109000 17.657000
13.846000 7.734000 22.265000
26.021000 7.950000 34.540000
18.610000 7.870000 27.034000
19.919000 29.259000 50.027000
21.680000 42.380000 64.891000
15.398000 32.137000 48.199000
25.620000 25.382000 51.587000
19.310000 26.733000 46.643000
10.424000 25.416000 36.448000
15.838000 29.635000 46.072000
8.489000 30.285000 39.454000
14.355000 25.897000 40.853000
10.889000 26.049000 38.428000
15.645000 26.972000 43.375000
20.823000 26.415000 47.851000
13.520000 27.232000 41.891000
15.295000 26.455000 42.366000
10.475000 26.677000 37.782000
12.068000 26.371000 39.034000
18.339000 25.103000 44.060000
21.329000 25.831000 48.051000
15.522000 25.763000 41.894000
25.779000 30.038000 56.404000
25.019000 25.380000 50.981000
10.342000 262.908000 274.600000
16.689000 260.820000 278.822000
10.484000 280.425000 292.220000
18.964000 273.791000 294.089000
16.997000 268.532000 286.955000
8.869000 271.470000 281.666000
12.814000 261.242000 275.412000
14.977000 265.240000 281.665000
38.109000 269.108000 308.497000
13.831000 268.725000 283.907000
18.363000 272.101000 291.555000
19.174000 266.069000 286.639000
13.152000 261.894000 276.524000
13.901000 289.080000 305.260000
30.623000 282.379000 314.068000
13.760000 262.379000 277.536000
9.208000 269.656000 280.216000
8.415000 273.820000 283.620000
28.546000 280.142000 310.050000
10.808000 263.727000 276.251000
21.444000 266.089000 288.837000
Suites = 10
70.265000 26.541000 98.475000
45.768000 31.389000 78.972000
56.461000 26.976000 85.422000
58.396000 25.955000 86.064000
84.080000 44.280000 130.879000
84.420000 26.372000 113.332000
48.917000 25.869000 77.134000
53.969000 25.787000 81.489000
42.930000 26.736000 71.505000
44.782000 27.435000 74.359000
52.184000 27.581000 81.459000
46.082000 31.248000 79.053000
56.362000 28.230000 86.776000
47.800000 29.388000 79.081000
56.772000 26.735000 85.183000
44.850000 26.100000 73.017000
51.757000 26.239000 79.672000
42.715000 27.359000 71.817000
70.842000 27.267000 99.879000
78.098000 27.569000 107.683000
59.140000 29.489000 91.150000
46.006000 278.501000 327.075000
49.294000 280.919000 332.614000
54.696000 267.118000 324.309000
51.537000 277.416000 331.421000
55.718000 271.168000 330.897000
68.574000 275.674000 347.250000
63.012000 404.109000 469.994000
48.825000 349.147000 400.404000
51.798000 333.771000 390.641000
75.573000 347.937000 426.340000
66.563000 356.526000 425.556000
55.487000 290.545000 348.466000
55.412000 287.605000 345.355000
96.221000 283.937000 382.369000
56.718000 326.613000 385.801000
62.048000 280.848000 345.324000
39.719000 320.703000 362.881000
38.604000 286.081000 327.452000
70.865000 286.049000 359.631000
62.229000 275.395000 340.065000
98.893000 273.840000 375.169000
